JUAN MIGUEL	ABDO	FRANCIS
MARÍA ESTHER	URRUTIA	AGUILAR
LUIS FEDERICO	USCANGA	DOMÍNGUEZ
FELIPE	VADILLO	ORTEGA
MARGARITA	VALDÉS	FLORES
MIGUEL ÁNGEL	VALDOVINOS	DÍAZ
PEDRO FRANCISCO	VALENCIA	MAYORAL
FERMÍN	VALENZUELA	GÓMEZ-GALLARDO
ENRIQUE PABLO	VALLEJO	VENEGAS
CARLOS ERNESTO	VARELA	RUEDA
GILBERTO FELIPE	VARGAS	ALARCÓN
JESÚS	VARGAS	BARRÓN
JAIME	VARGAS	BASTERRA
LUIS ALBERTO	VARGAS	GUADARRAMA
ARTURO	VARGAS	ORIGEL
EDGAR MANUEL	VÁSQUEZ	GARIBAY
CLARA ANDREA	VÁZQUEZ	ANTONA
CUAUHTÉMOC	VÁZQUEZ	CHÁVEZ
GILBERTO FELIPE	VÁZQUEZ	DE ANDA
MÓNICA	VÁZQUEZ DEL MERCADO	ESPINOSA
EDUARDO	VÁZQUEZ-VELA	SÁNCHEZ
LEOPOLDO	VEGA	FRANCO
MARÍA ELISA	VEGA	MEMIJE
FRANCISCO	VELASCO	CAMPOS
ANA LUISA	VELASCO	MONROY
MARCO ANTONIO	VELASCO	VELÁZQUEZ
ANTONIO	VELÁSQUEZ	ARELLANO
LUIS FERNANDO	VELÁSQUEZ	JONES
OLGA LIDIA	VERA	LASTRA
